"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 04 20:03:04 GMT 2022","Mon Apr 04 20:03:04 GMT 2022","30","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","assertOnCancelAlertResultText","assertOnCancelAlertResultText",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","9","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f3","f3",""
"skipped","Mon Apr 04 20:33:07 GMT 2022","Mon Apr 04 20:33:07 GMT 2022","12","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","cssProperty","cssProperty",""
"skipped","Mon Apr 04 20:42:33 GMT 2022","Mon Apr 04 20:42:33 GMT 2022","16","Suite","Test","testPackage01.Test_google","testPackage01.Test_google","searchForQueryandAssertResultsNumDisplayed","TC002 - Search for Query and Assert that the number of results is displayed",""
"skipped","Mon Apr 04 20:33:07 GMT 2022","Mon Apr 04 20:33:07 GMT 2022","19","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","exists","exists",""
"skipped","Mon Apr 04 20:09:05 GMT 2022","Mon Apr 04 20:09:05 GMT 2022","12","Suite","Test","testPackage01.Test_dynamicLoading","testPackage01.Test_dynamicLoading","dynamicLoading_elementIsRendered","dynamicLoading_elementIsRendered",""
"skipped","Mon Apr 04 20:39:09 GMT 2022","Mon Apr 04 20:39:09 GMT 2022","11","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","assertOnConfirmPromptAlertWithTextMessageResultText","assertOnConfirmPromptAlertWithTextMessageResultText",""
"failed","Mon Apr 04 20:27:07 GMT 2022","Mon Apr 04 20:27:07 GMT 2022","0","Suite","Test","testPackage01.Test_verifyEquals","testPackage01.Test_verifyEquals","beforeClass","beforeClass",""
"skipped","Mon Apr 04 19:42:02 GMT 2022","Mon Apr 04 19:42:02 GMT 2022","9","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_true_expectedToPass","assertFileExists_true_expectedToPass",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","9","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6","f6",""
"failed","Mon Apr 04 19:51:03 GMT 2022","Mon Apr 04 19:51:03 GMT 2022","0","Suite","Test","testPackage01.Test_dragAndDrop","testPackage01.Test_dragAndDrop","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","12","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_regexComparison_expectedToFail","assertElementAttribute_true_regexComparison_expectedToFail",""
"passed","Mon Apr 04 19:39:00 GMT 2022","Mon Apr 04 19:39:00 GMT 2022","18","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToFail","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToFail",""
"passed","Mon Apr 04 19:38:55 GMT 2022","Mon Apr 04 19:38:59 GMT 2022","4456","Suite","Test","unitTests.tests_restActions","unitTests.tests_restActions","getPostsAndAssertBodyForSpecificTitle","getPostsAndAssertBodyForSpecificTitle",""
"skipped","Mon Apr 04 19:48:03 GMT 2022","Mon Apr 04 19:48:03 GMT 2022","23","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","setWindowSize","setWindowSize",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","15","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_regexComparison_expectedToPass","assertElementAttribute_true_regexComparison_expectedToPass",""
