"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:40:06 UTC 2022","Mon Apr 04 19:40:07 UTC 2022","602","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_caseInsensitiveComparison_expectedToFail","assertElementAttribute_true_caseInsensitiveComparison_expectedToFail",""
"passed","Mon Apr 04 19:41:48 UTC 2022","Mon Apr 04 19:41:49 UTC 2022","564","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_false_expectedToPass","assertFileExists_false_expectedToPass",""
"passed","Mon Apr 04 19:44:14 UTC 2022","Mon Apr 04 19:44:14 UTC 2022","322","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","isNotSelected","isNotSelected",""
"passed","Mon Apr 04 19:38:33 UTC 2022","Mon Apr 04 19:38:41 UTC 2022","8022","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_false_expectedToFail","waitForElementToBePresent_false_expectedToFail",""
"passed","Mon Apr 04 19:44:39 UTC 2022","Mon Apr 04 19:44:41 UTC 2022","2071","Suite","Test","testPackage01.Test_google","testPackage01.Test_google","navigateToURLandVerifyGoogleLogoIsDisplayed","TC001 - Navigate to URL and Verify Google Logo is Displayed",""
"passed","Mon Apr 04 19:41:48 UTC 2022","Mon Apr 04 19:41:48 UTC 2022","10","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_longCharacters","assertEquals_longCharacters",""
"failed","Mon Apr 04 19:39:24 UTC 2022","Mon Apr 04 19:39:26 UTC 2022","1651","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","navigateBack","navigateBack",""
"passed","Mon Apr 04 19:39:52 UTC 2022","Mon Apr 04 19:39:53 UTC 2022","891","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_literalComparison_expectedToFail","assertElementAttribute_false_literalComparison_expectedToFail",""
"passed","Mon Apr 04 19:39:35 UTC 2022","Mon Apr 04 19:39:35 UTC 2022","2","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_false_greaterThan_expectedToPass","assertComparativeRelation_greaterThanOrEquals_false_greaterThan_expectedToPass",""
"skipped","Mon Apr 04 19:44:08 UTC 2022","Mon Apr 04 19:44:08 UTC 2022","42","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f32","f32",""
"failed","Mon Apr 04 19:39:34 UTC 2022","Mon Apr 04 19:39:34 UTC 2022","0","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","beforeMethod","beforeMethod",""
